# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 58K of event 'cycles:P'
# Event count (approx.): 62066647788
#
# Overhead  Command  Shared Object                                                      Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
# ........  .......  .................................................................  .......................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.67%  duckdb   duckdb                                                             [.] duckdb::TupleDataAllocator::Build(duckdb::TupleDataSegment&, duckdb::TupleDataPinState&, duckdb::TupleDataChunkState&, unsigned long, unsigned long)
     0.66%  duckdb   duckdb                                                             [.] duckdb::VectorOperations::Hash(duckdb::Vector&, duckdb::Vector&, unsigned long)
     0.65%  duckdb   duckdb                                                             [.] void duckdb::ConstantVector::VerifyVectorType<unsigned long>(duckdb::Vector const&)
     0.63%  duckdb   duckdb                                                             [.] void duckdb::TupleDataTemplatedGather<unsigned long>(duckdb::TupleDataLayout const&, duckdb::Vector&, unsigned long, duckdb::SelectionVector const&, unsigned long, duckdb::Vector&, duckdb::SelectionVector const&, duckdb::optional_ptr<duckdb::Vector, true>, duckdb::vector<duckdb::TupleDataGatherFunction, true> const&)
     0.55%  duckdb   [kernel.kallsyms]                                                  [k] _copy_to_iter
     0.47%  duckdb   duckdb                                                             [.] void duckdb::PartitionedTupleData::BuildBufferSpace<true>(duckdb::PartitionedTupleDataAppendState&)
     0.46%  duckdb   duckdb                                                             [.] void duckdb::TupleDataTemplatedScatter<unsigned int>(duckdb::Vector const&, duckdb::TupleDataVectorFormat const&, duckdb::SelectionVector const&, unsigned long, duckdb::TupleDataLayout const&, duckdb::Vector const&, duckdb::Vector&, unsigned long, duckdb::UnifiedVectorFormat const&, duckdb::vector<duckdb::TupleDataScatterFunction, true> const&)
     0.45%  duckdb   duckdb                                                             [.] duckdb_fastpforlib::internal::__fastunpack21(unsigned int const*, unsigned long*)
     0.42%  duckdb   duckdb                                                             [.] void duckdb::TupleDataTemplatedScatter<unsigned long>(duckdb::Vector const&, duckdb::TupleDataVectorFormat const&, duckdb::SelectionVector const&, unsigned long, duckdb::TupleDataLayout const&, duckdb::Vector const&, duckdb::Vector&, unsigned long, duckdb::UnifiedVectorFormat const&, duckdb::vector<duckdb::TupleDataScatterFunction, true> const&)
     0.42%  duckdb   duckdb                                                             [.] duckdb::Checksum(unsigned long)
     0.41%  duckdb   duckdb                                                             [.] duckdb::(anonymous namespace)::LikeMatcher::Match(duckdb::string_t&)
     0.40%  duckdb   duckdb                                                             [.] long duckdb::DeltaDecode<long>(long*, long, unsigned long) [clone .isra.0]
     0.39%  duckdb   duckdb                                                             [.] duckdb::VectorOperations::AddInPlace(duckdb::Vector&, long, unsigned long)
     0.38%  duckdb   duckdb                                                             [.] duckdb::(anonymous namespace)::CountFunction::CountScatter(duckdb::Vector*, duckdb::AggregateInputData&, unsigned long, duckdb::Vector&, unsigned long)
     0.37%  duckdb   duckdb                                                             [.] void duckdb::AggregateFunction::StateCombine<long, duckdb::(anonymous namespace)::CountFunction>(duckdb::Vector&, duckdb::Vector&, duckdb::AggregateInputData&, unsigned long)
     0.37%  duckdb   duckdb                                                             [.] duckdb_fastpforlib::internal::__fastunpack6(unsigned int const*, unsigned int*)
     0.36%  duckdb   duckdb                                                             [.] duckdb::SelectionVector::Slice(duckdb::SelectionVector const&, unsigned long) const
     0.33%  duckdb   duckdb                                                             [.] duckdb::RowOperations::InitializeStates(duckdb::TupleDataLayout&, duckdb::Vector&, duckdb::SelectionVector const&, unsigned long)
     0.30%  duckdb   duckdb                                                             [.] void duckdb::(anonymous namespace)::IntegralDecompressFunction<unsigned int, long>(duckdb::DataChunk&, duckdb::ExpressionState&, duckdb::Vector&)
     0.30%  duckdb   duckdb                                                             [.] memchr@plt
     0.29%  duckdb   duckdb                                                             [.] duckdb::TupleDataAllocator::ReleaseOrStoreHandles(duckdb::TupleDataPinState&, duckdb::TupleDataSegment&, duckdb::TupleDataChunk&, bool)
     0.29%  duckdb   duckdb                                                             [.] void duckdb::ConstantVector::VerifyVectorType<unsigned char*>(duckdb::Vector const&)
     0.28%  duckdb   duckdb                                                             [.] void duckdb::(anonymous namespace)::IntegralCompressFunction<long, unsigned int>(duckdb::DataChunk&, duckdb::ExpressionState&, duckdb::Vector&)
     0.27%  duckdb   duckdb                                                             [.] duckdb::Checksum(unsigned char*, unsigned long)
     0.26%  duckdb   duckdb                                                             [.] void duckdb::ComputePartitionIndicesFunctor::Operation<8ul>(duckdb::Vector&, duckdb::Vector&, unsigned long, duckdb::SelectionVector const&, unsigned long)
     0.26%  duckdb   duckdb                                                             [.] void duckdb::FSSTStorage::StringScanPartial<false>(duckdb::ColumnSegment&, duckdb::ColumnScanState&, unsigned long, duckdb::Vector&, unsigned long)
     0.25%  duckdb   duckdb                                                             [.] duckdb::DeltaDecodeIndices(unsigned int*, unsigned int*, unsigned long, unsigned int)
     0.25%  duckdb   [kernel.kallsyms]                                                  [k] native_irq_return_iret
     0.23%  duckdb   duckdb                                                             [.] duckdb::TupleDataAllocator::GetRowPointer(duckdb::TupleDataPinState&, duckdb::TupleDataChunkPart const&)
     0.23%  duckdb   [kernel.kallsyms]                                                  [k] srso_alias_safe_ret
     0.23%  duckdb   duckdb                                                             [.] duckdb::TupleDataSegment::SizeInBytes() const
     0.22%  duckdb   duckdb                                                             [.] duckdb::TupleDataAllocator::InitializeChunkStateInternal(duckdb::TupleDataPinState&, duckdb::TupleDataChunkState&, unsigned long, bool, bool, bool, duckdb::vector<std::reference_wrapper<duckdb::TupleDataChunkPart>, false>&)
     0.22%  duckdb   duckdb                                                             [.] duckdb::ExpressionExecutor::DefaultSelect(duckdb::Expression const&, duckdb::ExpressionState*, duckdb::SelectionVector const*, unsigned long, duckdb::SelectionVector*, duckdb::SelectionVector*)
     0.22%  duckdb   libc.so.6                                                          [.] _int_malloc
     0.21%  duckdb   libc.so.6                                                          [.] _int_free
     0.21%  duckdb   [kernel.kallsyms]                                                  [k] srso_alias_return_thunk
     0.21%  duckdb   duckdb                                                             [.] duckdb::VectorCacheBuffer::ResetFromCache(duckdb::Vector&, duckdb::shared_ptr<duckdb::VectorBuffer, true> const&)
     0.20%  duckdb   [kernel.kallsyms]                                                  [k] __mod_memcg_lruvec_state
     0.20%  duckdb   [kernel.kallsyms]                                                  [k] rmqueue_bulk
     0.20%  duckdb   duckdb                                                             [.] duckdb::Vector::Reinterpret(duckdb::Vector const&)
     0.19%  duckdb   duckdb                                                             [.] void duckdb::(anonymous namespace)::RegularLikeFunction<duckdb::(anonymous namespace)::NotLikeOperator, true>(duckdb::DataChunk&, duckdb::ExpressionState&, duckdb::Vector&)
     0.19%  duckdb   [kernel.kallsyms]                                                  [k] get_mem_cgroup_from_mm
     0.18%  duckdb   libc.so.6                                                          [.] cfree@GLIBC_2.2.5
     0.18%  duckdb   duckdb                                                             [.] void duckdb::Store<unsigned long>(unsigned long const&, unsigned char*)
     0.18%  duckdb   duckdb                                                             [.] duckdb::JoinHashTable::ScanStructure::UpdateCompactionBuffer(unsigned long, duckdb::SelectionVector&, unsigned long)
     0.17%  duckdb   libc.so.6                                                          [.] malloc
     0.17%  duckdb   duckdb                                                             [.] void duckdb::BitpackingScanPartial<long, long, unsigned long>(duckdb::ColumnSegment&, duckdb::ColumnScanState&, unsigned long, duckdb::Vector&, unsigned long)
     0.17%  duckdb   duckdb                                                             [.] duckdb::DataChunk::Reset()
     0.16%  duckdb   [kernel.kallsyms]                                                  [k] __handle_mm_fault
     0.15%  duckdb   duckdb                                                             [.] std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release()
     0.14%  duckdb   [kernel.kallsyms]                                                  [k] do_user_addr_fault
     0.14%  duckdb   duckdb                                                             [.] duckdb::TupleDataSegment::Verify() const
     0.14%  duckdb   duckdb                                                             [.] duckdb::BufferHandle::BufferHandle(duckdb::shared_ptr<duckdb::BlockHandle, true>, duckdb::optional_ptr<duckdb::FileBuffer, true>)
     0.13%  duckdb   duckdb                                                             [.] duckdb::StandardBufferManager::Pin(duckdb::QueryContext, duckdb::shared_ptr<duckdb::BlockHandle, true>&)
     0.13%  duckdb   duckdb                                                             [.] duckdb::JoinHashTable::ScanStructure::ResolvePredicates(duckdb::DataChunk&, duckdb::SelectionVector&, duckdb::SelectionVector*)
     0.13%  duckdb   duckdb                                                             [.] duckdb_je_free
     0.12%  duckdb   [kernel.kallsyms]                                                  [k] do_anonymous_page
     0.12%  duckdb   duckdb                                                             [.] duckdb::PipelineExecutor::Execute(duckdb::DataChunk&, duckdb::DataChunk&, unsigned long)
     0.12%  duckdb   duckdb                                                             [.] duckdb::FastMemcpy(void*, void const*, unsigned long)
     0.11%  duckdb   [kernel.kallsyms]                                                  [k] handle_mm_fault
     0.10%  duckdb   [kernel.kallsyms]                                                  [k] lru_add
     0.10%  duckdb   [kernel.kallsyms]                                                  [k] update_load_avg
     0.10%  duckdb   duckdb                                                             [.] duckdb::TupleDataCollection::CopyRows(duckdb::TupleDataChunkState&, duckdb::TupleDataChunkState&, duckdb::SelectionVector const&, unsigned long) const
     0.10%  duckdb   [kernel.kallsyms]                                                  [k] __folio_mod_stat
     0.10%  duckdb   duckdb                                                             [.] duckdb::Vector::Reference(duckdb::Vector const&)
     0.09%  duckdb   [kernel.kallsyms]                                                  [k] __mem_cgroup_charge
     0.09%  duckdb   duckdb                                                             [.] duckdb::FSSTStorage::FetchStringPointer(duckdb::StringDictionaryContainer, unsigned char*, int)
     0.09%  duckdb   duckdb                                                             [.] duckdb::Vector::ToUnifiedFormat(unsigned long, duckdb::UnifiedVectorFormat&)
     0.09%  duckdb   duckdb                                                             [.] duckdb::TupleDataCollection::SizeInBytes() const
     0.09%  duckdb   [kernel.kallsyms]                                                  [k] update_curr
     0.09%  duckdb   [kernel.kallsyms]                                                  [k] native_queued_spin_lock_slowpath
     0.09%  duckdb   [kernel.kallsyms]                                                  [k] filemap_get_read_batch
     0.09%  duckdb   duckdb                                                             [.] duckdb::JoinHashTable::ScanStructure::ScanInnerJoin(duckdb::DataChunk&, duckdb::SelectionVector&)
     0.09%  duckdb   [kernel.kallsyms]                                                  [k] __lruvec_stat_mod_folio
     0.09%  duckdb   [kernel.kallsyms]                                                  [k] __mod_zone_page_state
     0.09%  duckdb   [kernel.kallsyms]                                                  [k] try_charge_memcg
     0.09%  duckdb   duckdb                                                             [.] duckdb_fastpforlib::internal::__fastunpack5(unsigned int const*, unsigned long*)
     0.08%  duckdb   [kernel.kallsyms]                                                  [k] rmqueue.isra.0
     0.08%  duckdb   libc.so.6                                                          [.] malloc_consolidate
     0.08%  duckdb   [kernel.kallsyms]                                                  [k] folio_add_new_anon_rmap
     0.08%  duckdb   [kernel.kallsyms]                                                  [k] __update_load_avg_se
     0.08%  duckdb   duckdb                                                             [.] duckdb::RadixPartitionedTupleData::InitializeAppendStateInternal(duckdb::PartitionedTupleDataAppendState&, duckdb::TupleDataPinProperties) const
     0.08%  duckdb   duckdb                                                             [.] duckdb_je_malloc_default
     0.07%  duckdb   [kernel.kallsyms]                                                  [k] __alloc_frozen_pages_noprof
     0.07%  duckdb   duckdb                                                             [.] void duckdb::ComputePartitionIndicesFunctor::Operation<6ul>(duckdb::Vector&, duckdb::Vector&, unsigned long, duckdb::SelectionVector const&, unsigned long)
     0.07%  duckdb   [kernel.kallsyms]                                                  [k] error_entry
     0.07%  duckdb   [kernel.kallsyms]                                                  [k] __update_load_avg_cfs_rq
     0.07%  duckdb   duckdb                                                             [.] duckdb::ColumnData::CheckZonemap(duckdb::ColumnScanState&, duckdb::TableFilter&)
     0.07%  duckdb   duckdb                                                             [.] duckdb::BlockHandle::Load(duckdb::QueryContext, duckdb::unique_ptr<duckdb::FileBuffer, std::default_delete<duckdb::FileBuffer>, true>)
     0.07%  duckdb   duckdb                                                             [.] duckdb::ExpressionExecutor::Execute(duckdb::Expression const&, duckdb::ExpressionState*, duckdb::SelectionVector const*, unsigned long, duckdb::Vector&)
     0.07%  duckdb   [kernel.kallsyms]                                                  [k] lock_vma_under_rcu
     0.07%  duckdb   [kernel.kallsyms]                                                  [k] alloc_anon_folio
     0.07%  duckdb   duckdb                                                             [.] duckdb::TupleDataAllocator::PinRowBlock(duckdb::TupleDataPinState&, duckdb::TupleDataChunkPart const&)
     0.06%  duckdb   duckdb                                                             [.] void duckdb::RowGroup::TemplatedScan<(duckdb::TableScanType)0>(duckdb::TransactionData, duckdb::CollectionScanState&, duckdb::DataChunk&)
     0.06%  duckdb   [kernel.kallsyms]                                                  [k] asm_exc_page_fault
     0.06%  duckdb   [kernel.kallsyms]                                                  [k] cgroup_rstat_updated
     0.06%  duckdb   [kernel.kallsyms]                                                  [k] handle_pte_fault
     0.06%  duckdb   [kernel.kallsyms]                                                  [k] psi_group_change
     0.06%  duckdb   [kernel.kallsyms]                                                  [k] lru_gen_add_folio
     0.06%  duckdb   duckdb                                                             [.] duckdb::StandardColumnData::Select(duckdb::TransactionData, unsigned long, duckdb::ColumnScanState&, duckdb::Vector&, duckdb::SelectionVector&, unsigned long)
     0.06%  duckdb   [kernel.kallsyms]                                                  [k] mas_walk
     0.06%  duckdb   [kernel.kallsyms]                                                  [k] __count_memcg_events
     0.06%  duckdb   duckdb                                                             [.] duckdb::LogicalType::operator==(duckdb::LogicalType const&) const
     0.06%  duckdb   [kernel.kallsyms]                                                  [k] exc_page_fault
     0.06%  duckdb   [kernel.kallsyms]                                                  [k] rwsem_spin_on_owner
     0.05%  duckdb   libc.so.6                                                          [.] pthread_mutex_unlock@@GLIBC_2.2.5
     0.05%  duckdb   libc.so.6                                                          [.] pthread_mutex_lock@@GLIBC_2.2.5
     0.05%  duckdb   duckdb                                                             [.] duckdb::BitUnpackRange(unsigned char*, unsigned char*, unsigned long, unsigned long, unsigned char)
     0.05%  duckdb   [kernel.kallsyms]                                                  [k] __folio_batch_add_and_move
     0.05%  duckdb   duckdb                                                             [.] duckdb::shared_ptr<duckdb::VectorBuffer, true>::AssertNotNull(bool)
     0.05%  duckdb   duckdb                                                             [.] duckdb::JoinHashTable::Finalize(unsigned long, unsigned long, bool)
     0.05%  duckdb   [kernel.kallsyms]                                                  [k] update_min_vruntime
     0.05%  duckdb   duckdb                                                             [.] duckdb::BitpackingScanState<long, long>::LoadNextGroup()
     0.05%  duckdb   [kernel.kallsyms]                                                  [k] task_tick_fair
     0.05%  duckdb   duckdb                                                             [.] void duckdb::AggregateFunction::StateInitialize<long, duckdb::(anonymous namespace)::CountFunction, (duckdb::AggregateDestructorType)0>(duckdb::AggregateFunction const&, unsigned char*)
     0.05%  duckdb   [kernel.kallsyms]                                                  [k] mt_find
     0.05%  duckdb   duckdb                                                             [.] duckdb::DefaultTypeGenerator::GetDefaultType(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
     0.05%  duckdb   duckdb                                                             [.] std::__shared_count<(__gnu_cxx::_Lock_policy)2>::__shared_count(std::__shared_count<(__gnu_cxx::_Lock_policy)2> const&)
     0.05%  duckdb   [kernel.kallsyms]                                                  [k] zap_present_ptes.constprop.0
     0.05%  duckdb   [kernel.kallsyms]                                                  [k] asm_sysvec_reschedule_ipi
     0.05%  duckdb   [kernel.kallsyms]                                                  [k] __rcu_read_unlock
     0.05%  duckdb   duckdb                                                             [.] duckdb::unique_ptr<duckdb::DataChunk, std::default_delete<duckdb::DataChunk>, true>::AssertNotNull(bool)
     0.05%  duckdb   [kernel.kallsyms]                                                  [k] consume_stock
     0.05%  duckdb   [kernel.kallsyms]                                                  [k] alloc_pages_mpol
     0.05%  duckdb   [kernel.kallsyms]                                                  [k] charge_memcg
     0.05%  duckdb   duckdb                                                             [.] duckdb::Vector::Flatten(unsigned long)
     0.05%  duckdb   duckdb                                                             [.] duckdb::ExpressionExecutor::Verify(duckdb::Expression const&, duckdb::Vector&, unsigned long)
     0.05%  duckdb   [kernel.kallsyms]                                                  [k] vma_alloc_folio_noprof
     0.05%  duckdb   duckdb                                                             [.] duckdb::Vector::Slice(duckdb::SelectionVector const&, unsigned long)
     0.05%  duckdb   [kernel.kallsyms]                                                  [k] __rcu_read_lock
     0.05%  duckdb   [kernel.kallsyms]                                                  [k] perf_pmu_nop_void
     0.04%  duckdb   [kernel.kallsyms]                                                  [k] post_alloc_hook
     0.04%  duckdb   [kernel.kallsyms]                                                  [k] hrtimer_interrupt
     0.04%  duckdb   [kernel.kallsyms]                                                  [k] get_page_from_freelist
     0.04%  duckdb   [kernel.kallsyms]                                                  [k] native_sched_clock
     0.04%  duckdb   [kernel.kallsyms]                                                  [k] sync_regs
     0.04%  duckdb   [kernel.kallsyms]                                                  [k] __memset
     0.04%  duckdb   duckdb                                                             [.] duckdb::DictionaryBuffer::~DictionaryBuffer()
     0.04%  duckdb   [kernel.kallsyms]                                                  [k] lru_gen_del_folio.constprop.0
     0.04%  duckdb   libc.so.6                                                          [.] __memmove_avx512_unaligned_erms
     0.04%  duckdb   [kernel.kallsyms]                                                  [k] ___pte_offset_map
     0.04%  duckdb   libc.so.6                                                          [.] __strlen_evex
     0.04%  duckdb   duckdb                                                             [.] void duckdb::ComputePartitionIndicesFunctor::Operation<4ul>(duckdb::Vector&, duckdb::Vector&, unsigned long, duckdb::SelectionVector const&, unsigned long)
     0.04%  duckdb   duckdb                                                             [.] duckdb::AllocatedData::Reset()
     0.04%  duckdb   duckdb                                                             [.] duckdb::Vector::Initialize(bool, unsigned long)
     0.04%  duckdb   duckdb                                                             [.] duckdb_je_malloc
     0.04%  duckdb   [kernel.kallsyms]                                                  [k] _text
     0.04%  duckdb   [kernel.kallsyms]                                                  [k] blk_cgroup_congested
     0.04%  duckdb   [kernel.kallsyms]                                                  [k] __free_one_page
     0.04%  duckdb   libc.so.6                                                          [.] _int_free_merge_chunk
     0.04%  duckdb   duckdb                                                             [.] duckdb::shared_ptr<duckdb::BlockHandle, true>::AssertNotNull(bool)
     0.04%  duckdb   duckdb                                                             [.] duckdb_je_eset_remove
     0.04%  duckdb   duckdb                                                             [.] duckdb::RadixPartitionedTupleData::ComputePartitionIndices(duckdb::PartitionedTupleDataAppendState&, duckdb::DataChunk&, duckdb::SelectionVector const&, unsigned long)
     0.04%  duckdb   duckdb                                                             [.] duckdb::FlatVector::VerifyFlatVector(duckdb::Vector const&) [clone .isra.0]
     0.04%  duckdb   duckdb                                                             [.] duckdb::Vector::SetValue(unsigned long, duckdb::Value const&)
     0.04%  duckdb   [kernel.kallsyms]                                                  [k] asm_sysvec_apic_timer_interrupt
     0.04%  duckdb   [kernel.kallsyms]                                                  [k] __pte_offset_map_lock
     0.04%  duckdb   duckdb                                                             [.] duckdb_je_free_default
     0.03%  duckdb   [kernel.kallsyms]                                                  [k] policy_nodemask
     0.03%  duckdb   [kernel.kallsyms]                                                  [k] propagate_entity_load_avg
     0.03%  duckdb   duckdb                                                             [.] duckdb::DefaultCasts::StringCastSwitch(duckdb::BindCastInput&, duckdb::LogicalType const&, duckdb::LogicalType const&)
     0.03%  duckdb   duckdb                                                             [.] duckdb::ExpressionExecutor::Execute(duckdb::BoundReferenceExpression const&, duckdb::ExpressionState*, duckdb::SelectionVector const*, unsigned long, duckdb::Vector&)
     0.03%  duckdb   duckdb                                                             [.] std::unique_lock<std::mutex>::unlock()
     0.03%  duckdb   [kernel.kallsyms]                                                  [k] rwsem_optimistic_spin
     0.03%  duckdb   [kernel.kallsyms]                                                  [k] smp_call_function_many_cond
     0.03%  duckdb   duckdb                                                             [.] duckdb::TupleDataCollection::ToUnifiedFormat(duckdb::TupleDataChunkState&, duckdb::DataChunk&)
     0.03%  duckdb   duckdb                                                             [.] duckdb::LogicalType::LogicalType(duckdb::LogicalType&&)
     0.03%  duckdb   duckdb                                                             [.] duckdb_je_te_event_trigger
     0.03%  duckdb   duckdb                                                             [.] duckdb_je_extent_record
     0.03%  duckdb   duckdb                                                             [.] duckdb::ColumnSegment::FilterSelection(duckdb::SelectionVector&, duckdb::Vector&, duckdb::UnifiedVectorFormat&, duckdb::TableFilter const&, duckdb::TableFilterState&, unsigned long, unsigned long&)
     0.03%  duckdb   duckdb                                                             [.] duckdb_je_eset_fit
     0.03%  duckdb   duckdb                                                             [.] duckdb::BufferHandle::Destroy()
     0.03%  duckdb   duckdb                                                             [.] duckdb::PhysicalHashJoin::ExecuteInternal(duckdb::ExecutionContext&, duckdb::DataChunk&, duckdb::DataChunk&, duckdb::GlobalOperatorState&, duckdb::OperatorState&) const
     0.03%  duckdb   duckdb                                                             [.] duckdb::DBConfig::GetOptionByName(duckdb::String const&)
     0.03%  duckdb   duckdb                                                             [.] duckdb::PhysicalHashAggregate::Sink(duckdb::ExecutionContext&, duckdb::DataChunk&, duckdb::OperatorSinkInput&) const
     0.03%  duckdb   [kernel.kallsyms]                                                  [k] pte_offset_map_rw_nolock
     0.03%  duckdb   duckdb                                                             [.] emap_try_acquire_edata_neighbor_impl
     0.03%  duckdb   [kernel.kallsyms]                                                  [k] __mod_node_page_state
     0.03%  duckdb   duckdb                                                             [.] duckdb::ColumnData::ScanVector(duckdb::ColumnScanState&, duckdb::Vector&, unsigned long, duckdb::ScanVectorType, unsigned long)
     0.03%  duckdb   duckdb                                                             [.] duckdb::PipelineExecutor::ExecutePushInternal(duckdb::DataChunk&, duckdb::ExecutionBudget&, unsigned long)
     0.03%  duckdb   duckdb                                                             [.] duckdb::ExpressionExecutor::ExecuteExpression(unsigned long, duckdb::Vector&)
     0.03%  duckdb   duckdb                                                             [.] duckdb::Vector::Vector(duckdb::Vector&&)
     0.03%  duckdb   [kernel.kallsyms]                                                  [k] __mod_lruvec_state
     0.03%  duckdb   duckdb                                                             [.] duckdb::Vector::Reference(duckdb::Value const&)
     0.03%  duckdb   duckdb                                                             [.] duckdb::ArenaAllocatorData::~ArenaAllocatorData()
     0.03%  duckdb   duckdb                                                             [.] duckdb::JoinHashTable::InitializeScanStructure(duckdb::JoinHashTable::ScanStructure&, duckdb::DataChunk&, duckdb::TupleDataChunkState&, duckdb::SelectionVector const*&)
     0.03%  duckdb   duckdb                                                             [.] extent_recycle
     0.03%  duckdb   [kernel.kallsyms]                                                  [k] ftrace_ops_list_func
     0.03%  duckdb   [kernel.kallsyms]                                                  [k] count_memcg_events.constprop.0
     0.03%  duckdb   duckdb                                                             [.] duckdb::TupleDataAllocator::ReleaseOrStoreHandles(duckdb::TupleDataPinState&, duckdb::TupleDataSegment&)
     0.03%  duckdb   [kernel.kallsyms]                                                  [k] vsnprintf
     0.03%  duckdb   duckdb                                                             [.] duckdb::Vector::Vector(duckdb::LogicalType, unsigned char*)
     0.03%  duckdb   duckdb                                                             [.] std::_Sp_counted_ptr_inplace<duckdb::VectorBuffer, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
     0.03%  duckdb   [kernel.kallsyms]                                                  [k] set_ptes.isra.0
     0.03%  duckdb   duckdb                                                             [.] pac_alloc_impl
     0.03%  duckdb   duckdb                                                             [.] duckdb::vector<duckdb::ColumnScanState, true>::AssertIndexInBounds(unsigned long, unsigned long) [clone .constprop.0]
     0.03%  duckdb   duckdb                                                             [.] duckdb_fastpforlib::fastunpack(unsigned int const*, unsigned long*, unsigned int)
